game,comment
Wii Sports,"I remember my family was only able to get a Wii with it always being sold out via a credit card reward. Also, so Wii Sports Resort when?"
Wii Sports,YOU GUYS MADE FUCKED UP LITTLE GUYS TOO!!? MY SISTERS AND I MADE ANT VERSIONS OF ALL THE MAIN TWILIGHT CHARACTERS!! ANT NAMES AND ALL
Wii Sports,These guys are like the Click and Clack (from car talk)of gaming.
Wii Sports,I'm so glad to see Eddy nine pins play the other games
Wii Sports,I honestly can't remember playing any other Wii game.
Wii Sports,"Im assuming most people don’t know that in the 91 pin game mode, if you ride the ball on the railing all the way down that you hit the red button at the end it knocks down all of the pins. So challenging yet satisfying to do that"
Wii Sports,Eddy nine pins
Wii Sports,Congratulations on getting into the Hall of Fame
Wii Sports,I loved wii baseball and didn't have much problem going pro
Wii Sports,My ring tone is the wii sports theme
Wii Sports,I'm not saying me and my sister were pro gamers but we did pro every sport you could on both our mii's and I had 3 perfect games in the bowling
Wii Sports,I love the miis! I need more miis
Wii Sports,Wii sports? Never heard about this game.
Wii Sports,Wii sports resort hit too
Wii Sports,"pleaseeeee do a video on wii sports resort, that game was literally everything to me!! the sword fighting was top tier"
Wii Sports,“One freak mii everyone had?” That was just straight up my main mii I love making the stupidest character possible XD I still do on the switch too.
Wii Sports,i didn’t bother buying switch sports and it’s all because they don’t have the backwards bowl
Wii Sports,Please do a wii resort one
Wii Sports,"my mom bought us one before we even knew what a wii was, one of my fondest memories. luv my mom"
Wii Sports,11 years ago is when i last touched this (I’m 15) I regret letting my parents throw it out and not fixing it.
Wii Sports,Can someone make 10 hr version of eddy Wii song
Wii Sports,wsg eddy 9 pins
Wii Sports,4:07 holy shit it looks just like him
Wii Sports,"You may not like Wii baseball, I agree.

But take things back to the mid 80's and play Black Box Baseball!!

That, and LJN Baseball are very bad.

Still better than Atari 2600 Baseball. the one made be Atari, not the one that came after.  

The one that was a port of the Intellevision Baseball.  That one was the best, at the time.

Cheers from Canada"
Wii Sports,"You're right.  The Wii does bring families together.


Waaaay more than ""Scene it"" or ""Monopoly""

Those games have led families to crumble, 
world wide."
Wii Sports,nine pins
Wii Sports,I HAD NO IDEA THERE WAS A TRAINING MODE??!????!!?
Wii Sports,"Wow, another great video from Eddy Ninepins and his twin brother."
Wii Sports,"EDDIE 9 PINS LET""S GOOOO"
Wii Sports,One time in boxing I beat my brother so hard he threw from crying💀
Wii Sports,"I played Wii Sports Resort religiously growing up, i loved coming up with more strange ways to crash my plane"
Wii Sports,hey it's eddy 9 pins
Wii Sports,Growing up I had a Wii and I remember playing Wii sports the first time I played the console and at least a couple of times after but at some point I lost the disc and I always wanted to get another one and play it more but I never did and I’m still upset about it bc I would wave enjoyed the shit out of this
Wii Sports,I have a lot of found memories of playing Wii bowling with my Grandma and Mom on holidays or when I would spend the night. Just the three of us going at it. Good times. Every now and then I'll boot up the ol Wii for old times sake.
Wii Sports,Every night is a late night as a gamer 😔
Wii Sports,"I played Wii bowling at lot as a kid. I randomly got pro in it one day, and it made me feel incredible because I didn't even know pro was a thing"
Wii Sports,"Something I would like to add is making a mii of someone, and then the person dying. My dad died about 3 years ago so when I started playing the Wii again for the first time in many years, it was really bittersweet. He played wii the most besides me so he's almost always on my team or on the sidelines watching. No other game has that angle imo"
Wii Sports,I didn’t even know there was a training mode
Wii Sports,How does the Mii look just like Eddy?
Wii Sports,"You guys should review the new one , it’s ass"
Wii Sports,Nintendo switch sports was so disappointing
Wii Sports,"I was such a little OCD freak... I got SO upset when my mom and dad made crazy looking miis! My own was the default and I'd wail whenever they made any with eyes on their foreheads and antennae eyebrows. I'd wake up in the morning to new monstrosities! Looking back on it, they really helped get the stick out of my butt and have a sense of humor, and I am proud to say I now have a fair share of mutated miis. 😂"
Wii Sports,That Yoshida Brothers Rising song was and is such a fucking banger.
Wii Sports,"You need to talk about resort, swordfighting absolutely slaps"
Wii Sports,This is my favorite YouTube channel of all time and I'm a YouTube addict lmao I like it how y'all go back and forth I wish y'all did more videos
Wii Sports,I’ve just been listening to this and not paying attention to the video. Tony’s voice was so so sooooo familiar and I couldn’t place it. I just did. He sounds exactly like Josh from “Stuff you should know”.
Wii Sports,"Did anybody else used to play through the entire bowling mini game just to get one attempt at the 91 pins barrier trick easter egg - where if you throw the ball perfectly along the barrier on the right or left side there's a ticking sound, an explosion and all 91 of the pins fall? I vividly remember hitting that for the first time and having no idea that my life had actually peaked in that moment"
Wii Sports,Sports Resort was better.
Wii Sports,so generous of tony ten pins to sit down and record this video with eddy nine pins!
Wii Sports,The Wii fit and sports directly contradicted the notion that gaming was unhealthy!
Wii Sports,Eddie with a y nine pins
Wii Sports,need the wii sports resort episode
Wii Sports,"Dude i love LOVE this game, and I swear I played 16 hours a day of this and wii sports resort. I loved these games."
Wii Sports,Me who bought a Wii+games for 70$ at a yard sale :/
Wii Sports,The emotional damage of someone picking the round face for your mii
Wii Sports,2:29 BOOOOOOWWWWWLING
Wii Sports,"I gotta disagree on baseball, y’all are… off base 😎"
Wii Sports,I never liked Wee or N...AND I NEVER WILL...THE GRAPHICS AND GAMES ARE UGLY
Wii Sports,I remember thinking the people waiting outside stores to get a wii were NUTS. I was 9.
Wii Sports,Are you guys going to review the switch sports? Curious your opinion on the new version.
Wii Sports,so it's supposed to take multiple days to earn pro in a sport huh
Wii Sports,"God, what did your uncle do? Are you okay?"
Wii Sports,Did they cut out an ad at the end?
Wii Sports,"I didn't get a Wii until 2009, but I still have it and it works like a charm. My whole family LOVED bowling and it was wonderful bonding through hard times and bad memories."
Wii Sports,"headcanon: matt is a retired boxing champion, and elisa (the person you usually fight before matt) was the actual champion 

matt fought you just to see if you were a true champion"
Wii Sports,I kinda want to use eddy's singing as my ringtone
Wii Sports,"bah I mastered bowling with Mother...found the sweet spot between pin 1 and 2 if your lefty, 1 and 3 if your righty. get the ball dow the front lineand its strike everytime.......  oh great hint, keep the face of the controller FLAT to roll ball straight... if you twist it during the throw it spins the ball.."
Wii Sports,Bro i miss training mode way more than i thought i would
Wii Sports,The pawnshop I bought mine at was so dumb they thought it was a dvd player and sold it for 40 dollars!
Wii Sports,the christmas of the wii was the best christmas ever.
Wii Sports,Thank you for the nostalgia and for educating the youths on the magic of this console
Wii Sports,bro my grandma has a wii
Wii Sports,wii sports resort was slept on
Wii Sports,"forgive me


DOWN!


🎶 Golf 🎶"
Wii Sports,"As a kid who got in a lot of fights in school, boxing was the best game to me. I remember one summer staying at a cousins house the whole summer and we’d binge Rock band, left for dead, and wii sports. But I would play boxing alone for the most part and everyone would ignore it. But I was pro, and they made fun of me because it was all computer characters. They’d fight me and just spam super fast and knock me out once and look at me like the Miis do. Like “ha you thought you were dope” and then I would completely decimate. Not getting hit a single time and needing that shot and then they would call me lame. But guess what bitch, I’m not the one getting pissed because someone better at a game we both played non stop for three months. Now we all love each other (sike)"
Wii Sports,My peak physical and mental health is when I had Wii sports and Wii fit hands down.
Wii Sports,Nice one Eddie Nine Pins
Wii Sports,"After hearing you sing that smash hit Wii Sports song, I had to subscribe 🤣🤣🤣😌"
Wii Sports,Yo did Eddy ever make a statement about Established Titles? There was an ad read for them on this video but it looks like he pulled it.
Wii Sports,They did not have to go that hard with the training compilation with ave Maria in the background
Wii Sports,Man I’m glad eddy 9pins made another video about wii sports
Wii Sports,Eddy 9 pins
Wii Sports,Yeah.... So wii sports resort really is the peak. Switch sports barely scrapes past the first game.
Wii Sports,Eddy 9 Pin
Wii Sports,Why would I take advice on bowling from eddy 9 pins?
Wii Sports,i can’t even describe the instant rush of joy i got when the wii sports theme chimed in. i was dancing in my seat
Wii Sports,YES PLS make a wii sports resort video that game will forever be more iconic to me it's so fun
Wii Sports,Hot take: kinect sports was better
Wii Sports,Badminton❌️ Badmin✅️
Wii Sports,is Nintendo going to fix motion problem or what?
Wii Sports,Still better on the original Wii
Wii Sports,No golf?!?😢
Wii Sports,No boxing!?
Wii Sports,Such a missed chance they didn't include the terrific golf from Wii Sports
Wii Sports,"If you could only buy this or Mario Tennis, which would you get? Obviously this has more games, but presumably the tennis gameplay is a lot better on Mario."
Wii Sports,Damn no baseball
Wii Sports,Kinect Sports was better
Wii Sports,"he said he ""waited till the menu music ended? to move on""
.....we could tell the quality of this review, thanks."
Wii Sports,Does this need any separate hardware  purchase other than game card ? Does normal joycon works ?
Wii Sports,Wii Sports Resort is destroying this
Wii Sports,"More switch garbage ouff. Why are there missed opportunities, jesus they have all the resources to make a mega awesome game and release this stuff"
Wii Sports,The old style was 100% better
Wii Sports,You have 12 friends? Unlikely story.
Wii Sports,Very helpful review
Wii Sports,Sword figthing was my favorite on wii sports
Wii Sports,Osososos
Wii Sports,"As if it doesnt have golf, boxing or baseball??"
Wii Sports,Evryone talking about baseball and boxing but where is golf 😩
Wii Sports,Should have guessed before watching this video ign would give classic 7
Wii Sports,No ⚾️
Wii Sports,i’m so upset they don’t have baseball or any of the games from wii sport resort… disappointed
Wii Sports,12 friends?! Must be nice
Wii Sports,Basketball 🏀
Wii Sports,"Bowling is the best / most fun sport hands down to play!! But everything else is fun for 5 - 10 minutes. Nintendo really screwed up, especially with badminton, soccer, and whatever the hell "" chambara "" is...They really should have just gave us boxing and  baseball back. Hopefully golf is worth the wait."
Wii Sports,what happen to the bike game
Wii Sports,But it isn't set on Wuhu island I'm taking
Wii Sports,What about boxing and baseball those will be missed
Wii Sports,No baseball and boxing is sad 😢
Wii Sports,"If they just remade the original Wii sports but with online play, it would of been far more popular."
Wii Sports,Golf is being added at a later date as a free download
Wii Sports,A lazy cash grab.
Wii Sports,Review the controls
Wii Sports,Great review
Wii Sports,"For anybody who is interested in the party style of games, try out ""Mario and Sonic at the Oympic Games"". It has a much better variety."
Wii Sports,WHERES THE MIIS?!
Wii Sports,I'm starting to see the trend with Nintendo's modern games. The lack of content compared to their older titles!
Wii Sports,Downgrade
Wii Sports,"We need the get the skydiving, archery, wakeboarding, and frisbee back!"
Wii Sports,IGN again proving why they are the worst :)
Wii Sports,imagine if Nintendo didn't make the dlc's free
Wii Sports,At least he got to spend time and play with his parents
Wii Sports,"L
O
L"
Wii Sports,Still waiting for 1-2 Switch 2!
Wii Sports,The game is not 7/10 it's 9/10
Wii Sports,Wii sports music reference lol
Wii Sports,No boxing? Disappointed
Wii Sports,Imagine the chaos in the living room if a party of parents would be playing Switch Sports.
Wii Sports,No local multiplayer without the dock ruins this game
Wii Sports,I’m so sad the plane flying isn’t on there 😭😭😭😭
Wii Sports,why have doubles tennis 🙃🙃🙃🙃🙃
Wii Sports,No baseball 😱
Wii Sports,"no boxing '?>
best part sport game"
Wii Sports,"Badminton is my favorite, having a blast online trying to rank up 😁"
Wii Sports,"Lol, sports resort came out way later than sports...."
Wii Sports,$50 for half of the game. Typical for the gaming industry. That's I wait till it goes on sale or simply don't buy it. Then they will drop the price. Trust the process.
Wii Sports,"My dad and little brother both destroyed me at bowling, with my brother getting a 192 on his first go"
Wii Sports,They missed out golf
Wii Sports,This was always a great party game!
Wii Sports,What's with the lack of games?
Wii Sports,Where’s the boxing 🥊?
Wii Sports,"Meh, I'll get Mario Tennis, Strikers orGolf instead. This is not the sports game for me."
Wii Sports,"if it ain't broke, don't fix it. unfortunately it looks like nintendo tried too hard to fix it."
Wii Sports,Wtf do u mean 15 years ago?!!!
Wii Sports,Is Golf gonna be a Free?
Wii Sports,"Ill wait for Golf to come out, hopefully its a free DLC and it has a solid course selection."
Wii Sports,The lack of archery is for me the biggest flaw in this package - I'd have liked to see the game utilise the ring-con to emulate drawing back the bow string as an option.
Wii Sports,"Baseball and boxing were my favorite sports in the original, needless to say not excited by this edition"
Wii Sports,Cool
Wii Sports,4/10 for me soccer and volleyball hard carried
Wii Sports,No mention of unlocks or online 🫤
Wii Sports,"Didn’t need to flex on us with the 12 friends, we can’t all be popular like you"
Wii Sports,BOXING WOULD BE SO PERFECT
Wii Sports,12 friends. Who has 12 friends....
Wii Sports,The most unbelievable part here is when you say you got a group of 12 people together.
Wii Sports,"Contrary to your opinion, I've enjoyed the Football mode the most! It really feels the most tactical because of the importance of positioning, passing to teammates at the right time and aiming the ball correctly."
Wii Sports,It went from a novelty party game to nostalgia freak gamers playing a competitive minigame collection AND ITS GREAT
Wii Sports,"It's pretty disillusioning that they put both Tennis AND Badminton in here, when they only have 6 sports total. It's kind of a wasted slot that could have been used for sports with more variety."
Wii Sports,"Im callin 7
Edit: lets gooo"
Wii Sports,Bad game
Wii Sports,"This review is not great, every sport is personal preference and soccer is easily my favorite one of the bunch"
Wii Sports,"Omfg Nitendo, just remake wii sports resort"
Wii Sports,"Nice game, but feel lacking. The games have less than the Wii varients. We had twelve games cut down to six... and the only real improvements seem to be bowling and soccer... one with an expansion for extra stuff. Soccer being a new game with old problems. 

The second problem is the odd lack of equipment to make for Mii stand out... yes you can 'grind' and randomly pull a new piece out, but not a lot of these games will last long enough for it.

Mostly miss Archery, and some of the other interesting sports."
Wii Sports,How do you have 12 friends wtf
Wii Sports,It's a shame that everyone is so focused on the fact that miis aren't quite in the game.
Wii Sports,The should've added baseball
Wii Sports,"Correction: Golf will arrive as a free update, not DLC"
Wii Sports,"Quick question:

Do you HAVE to use motion controls for this game or can you just use the joycon or a controller?"
Wii Sports,What about boxing? Baseball?
Wii Sports,I’d prefer the og wii sports
Wii Sports,It feels like a cashgrab from nintendo tbh
Wii Sports,Controls might be hard on the switch lite.
Wii Sports,I’m just super disappointed they cut boxing :( that was my entire cardio as a kid.
Wii Sports,the only thing it lacks is no more sports
Wii Sports,seriously how is golf NOT in the game?
Wii Sports,No golf makes this game a no go for me…
Wii Sports,"Dude, just cause you aint ""A rank"" pro on soccer dosen't mean its the most disappointing. It takes a lot of team work and strategy to score that goal yo!!!"
Wii Sports,"So just to get this clear there’s no base ball, basket ball, and boxing?  You’re charging $40 for 6 games when the original had more options and was free. And literally 3 of the 6 games are similar."
Wii Sports,"Might have missed it, but does this game have an online multiplayer feature?"
Wii Sports,my favorite game ever
Wii Sports,"13 years later we know, that this is one of the greatest Wii games ever made."
Wii Sports,"The fact that Wii was so advance in its time 
It's crazy to imagine"
Wii Sports,Why does t the switch game have nearly this much content. SAD.
Wii Sports,"""Apply English to the ball."" XD"
Wii Sports,-“#”#
Wii Sports,Oh lord the nostalgia
Wii Sports,ButtPaste300
Wii Sports,Lol wii sports resort was packaged with my wii
Wii Sports,IGN is satan
Wii Sports,this is the greatest nostalgic game ever.
Wii Sports,Looking back this game is seriously underrated...
Wii Sports,2021 anyone?
Wii Sports,You CANNOT call this a 'tech demo'.
Wii Sports,"Swordplay- Insanely intuitive and challenging!
Wakeboarding- Satisfying seeing your points rack up!
Frisbee- Incredible precision possible, and nice to try and get a high score!
Archery- Incredible precision with the Wii Motion Plus, and the hidden fruits are super cool!
Basketball- Incredibly addictive and super fun with friends!
Table Tennis- Awesome controls and depth. So much replay value!
Golf- The insane amount of complexity and strategy possible!
Bowling- Many different modes with each having a different feel! So much fun with friends, and trying to get a better score!
Power Cruising- High speed fun with cool stages and visuals!
Canoeing- Intense, and addictive! Awesome VS mode!
Cycling- Nail-biting, and a lot of variety in the course layout!
Air Sports- Island Flyover is super relaxing and fun! So awesome to explore Wuhu Island!

I love this game to death. 10/10 for sure! It deserves a better score. Here's to Wii Sports Resort!"
Wii Sports,Who’s watching this 2020? Btw I remember playing this as a kid....Time flies so fast...
Wii Sports,A lot of nostalgia from this game. Especially the music
Wii Sports,Buying a Wii again this week just to play this game with my wife. I loved the original Wii Sports back in the day but never played this.
Wii Sports,"11/10 ""it has a little something for everyone"""
Wii Sports,I LOVE CYCLEING HEY I LOVE
Wii Sports,Great review ⚾🏀⚽
Wii Sports,Remember when ign reviews weren't so inflated?
Wii Sports,Great video game 😊
Wii Sports,7.7 but is still played actively 10 years later
Wii Sports,"Anybody watching this at home, because of corona?"
Wii Sports,Sports resort 2 for Nintendo switch
Wii Sports,One of my favorite games of all time.
Wii Sports,"Cycling is dull, boring. Yeh feck off. 😒😒 it’s one of mine and my families faves and I grew up with this game"
Wii Sports,4:05 tandem cycling was always fun back in the days.
Wii Sports,I love Wii Sports Resort!
Wii Sports,Wii Sports Resort is my all time favorite video game.
Wii Sports,2019 bois
Wii Sports,*If you don’t think of this game as an absolute 10 then you’re not my friend*
Wii Sports,Can we just get Resort in HD... Come on Nintendo...
Wii Sports,"720p in a 2009 video

Wait. That's illegal."
Wii Sports,Easily a 10
Wii Sports,Nobody does a review on wii sport is jussi legebdery stop taking too seriously mahn
Wii Sports,Why am I watching this 10 years after it was posted
Wii Sports,"""Please note that none of these minigames will work without a wiimotion plus controller""
Dolphin emulator: are you sure about that?"
Wii Sports,Shoulda had Boxing.
Wii Sports,Alright how the actual hell does this only have a 7.7
Wii Sports,2019 anyone
Wii Sports,Why am I here
Wii Sports,"I'll admit, Cycling got my heart racing from the anxiety and adrenaline I got when I wanted to win and realized I wasn't gonna win"
Wii Sports,0:01 At first I thought it was the Smash Ultimate theme
Wii Sports,i got SO mad when i lost that damn disc
Wii Sports,Wow 10 years ago
Wii Sports,2013 anyone?
Wii Sports,"Please don't say ""frolf.""  That's something you type, not actually say.  Just like ""shmup""."
Wii Sports,My child hood
Wii Sports,Who's here before wii sports resort 2?
Wii Sports,2019?
Wii Sports,*10/10 Game*
Wii Sports,"Ok, they say cycling is the worst. They clearly haven't seen how exciting and nerve-racking it can get."
Wii Sports,i play this in 2019 XD
Wii Sports,2019?
Wii Sports,What’s the difference between this and GoVacation
Wii Sports,"1.4 million views, 2k likes :/"
Wii Sports,I love this game so much. It deserves an 11.
Wii Sports,"Wow, gaming was almost dead !"
Wii Sports,Who's here in 2018?
Wii Sports,"Waz this like a True Wii Sports game, or waz it a side game?"
Wii Sports,One of my favourites old games
Wii Sports,help im only 30 seconds in and the nostalgia is killing mE
Wii Sports,don't you think the Wii is a bit dinosaur age compared to the console these days
Wii Sports,who's here in 2009?
Wii Sports,I personally rather enjoy cycling :/
Wii Sports,How to get this game
Wii Sports,7 years? :(
Wii Sports,I got an ign advert on an ign video lol
Wii Sports,"If only it had online multiplayer, with families being able to play against each other from around the world."
Wii Sports,eh..I bought the game yesterday and it isn't too entertaining...whatever...
Wii Sports,anyone 2021?
Wii Sports,7.7???? IS THAT IT!!!!!!!!!!!!!!!! SERIOUSLY IGN???? What is is with your old scoring system??
Wii Sports,"""We look forward to seeing how other games use the Wii MotionPlus""
... then Skyward Sword happens...
(well, there was Wii Play Motion which was good, but other than that it was just Skyward Sword and that was awful)"
Wii Sports,"I have this games in my wii,i can play tennis very well my record is 247"
Wii Sports,"I have this games in my wii,i can play tennis very well my record is 247"
Wii Sports,"You know, in my opinion, this game deserves a 10."
Wii Sports,who remembers the zombie game
Wii Sports,this deserved a higher rating
Wii Sports,Only 7.7?
Wii Sports,I seriously think this is one of the best games of all time
Wii Sports,Definitely a true Wii classic game.. swordplay is actually pretty awesome :D
Wii Sports,Nice
Wii Sports,Cycling is actually my favourite game- that and table tennis
Wii Sports,was this dude playing a video game or taking a math test?
Wii Sports,WTF? Cycling in this game is awsome!
Wii Sports,Wii sport resort There's sports that don't feel like sports
Wii Sports,this looks like so much fun 
Wii Sports,The only people who dislike the wii are people who are too lazy to pick up the remote and move about
Wii Sports,"Being a madman on swordplay got me to pro level on level 1,286."
Wii Sports,2014.03.05 WED 
Wii Sports,2014th 3rae 5day High POP
Wii Sports,용기를내서 지구를지킨다
Wii Sports,2014년 3월 5일 닌텐도wii발매
Wii Sports,i wish i had money to buy a wii
Wii Sports,"CREO QUE EL WII ES SUFICIENTE , EL WII U ES POR LA PANTALLA EN EL MANDO NADA MAS , ESTA DEMAS ,"
Wii Sports,I just buyed it and i didn't played it yet please be good:D
Wii Sports,i thought it was a running or jogging program on here.
Wii Sports,Mne  ваще пох я русская
Super Mario Bros.,5.8.23 😅
Super Mario Bros.,6:35 nintendo will roll out one these every 12 months lol ok dude major cap
Super Mario Bros.,They should launch one with POKÉMON games!!!
Super Mario Bros.,Yo make dat starfox one tho
Super Mario Bros.,Where would the gaming market be if some dude didn't get bored with his calculator
Super Mario Bros.,It is a great system but a little overpriced for only having two games. The Zelda one is far better and much more worth the price
Super Mario Bros.,"Me playing Zelda game and watch:
Psych"
Super Mario Bros.,Nice video! Anyone knows how to set the time on these things? What does the ACL button do?
Super Mario Bros.,Where can we get a mickey mouse and popeye??
Super Mario Bros.,how the hell did they not put SM3 on this thing?  What a waste
Super Mario Bros.,Got my first star on the Lost Levels and unlocked the world select by pressing b and I've also finished the Super Mario Bros and unlocked the level select and hard mode there. On my second playthrough of the Lost Levels now to unlock world 9. Then it's only six or eight more stars for worlds A to D 🙂
Super Mario Bros.,"A screen that's not the same resolution as NES games? LOL at that. I don't like LCD screens but the one thing they have going for them is that they produce a very sharp picture, but only when displaying video at its native resolution or an exact multiple thereof. I can't stand the ""soft"" (as you called it) look of scaled video on an LCD. It also means they were too cheap to have LCD screens custom manufactured, and instead went with off-the-shelf ones.

A propriety non-replaceable battery is a load of BS too, as is the lack of a headphone jack and not being able to add your own NES ROMs."
Super Mario Bros.,"I just picked up the zelda version. Only played breath of the wild, but this little device is still wicked. It will easily pass the time in any scenario, and I personally love it."
Super Mario Bros.,I can’t be the only one who didn’t know the watch in “game and watch” literally meant a clock.  I figured it had like.. stuff to watch on it
Super Mario Bros.,I would definitely get this if they made it serve as a powerbank too.
Super Mario Bros.,"I had Russian clone of Nintendo Game and watch, it was big deal to get it there"
Super Mario Bros.,There's two variations released the Japan and the US variation. Any differences between the two? And which one is the best? Thanks!
Super Mario Bros.,"I was about to buy this,,, then I remembered I have a Switch... and then I still want it."
Super Mario Bros.,I think the zelda one is a much better deal since it has 4 games that are much bigger than the mario games
Super Mario Bros.,It has been improved.. last time i played game & watch was on 1981.. the game was painted on the screen.
Super Mario Bros.,Hold a for 5 seconds on the clock
Super Mario Bros.,Harga satuannya berapa bagaimana cara membeli.Game watch Mario bross?
Super Mario Bros.,But WTF is Game And Watch?
Super Mario Bros.,"""if you have the screen and volume at max, you should expect shorter battery life""

no fucking shit. i want to how much less?"
Super Mario Bros.,"I still have a stack of my old Game & Watch games. If someone had given me this Game & Watch back in the day, it would've blown my mind lol. Man.. how time flies."
Super Mario Bros.,The only sad part of it is that you can't save and have to start over always
Super Mario Bros.,"The battery sux, the only way these retro games survived is because you could put your own batteries in n out. A chargeable battery wont last 10 years…"
Super Mario Bros.,Where can i buy the nintendo game and watch AMBULANCE game.i am from south africa.
Super Mario Bros.,the couldn't include super mario 3? :(
Super Mario Bros.,"""Why did Nintendo put so few games on here?""

*laughs in Nintendo fan being left out for decades*"
Super Mario Bros.,Imagine a Pokémon one
Super Mario Bros.,Brothers
Super Mario Bros.,My criticism is it should have Mario 1 2 and 3
Super Mario Bros.,I was just searching for a cheaper game console that has pokemon an hour ago. I wanted to play with my sister's Switch and it'snow with my nephews. I thought I could buy a cheap decoy so I can have the Switch. Now I'm thinking I might just buy this for myself
Super Mario Bros.,I feel like Nintendo is young. Because my mom is 3 years older than Nintendo XD
Super Mario Bros.,I have Donkey Kong Jr.
Super Mario Bros.,Does anyone know if the watch could stay on constantly if plugged in? is that safe?
Super Mario Bros.,2 expensive for a free game in a retro console
